1,0.12299,0.01738,0.23128,0.24332,0.18182,0.20321
1,0.028617,0,0.34658,0.36407,0.08744,0.17329
1,0.03437,0.045827,0.06874,0.23404,0.25696,0.36007
1,0.060914,0.055838,0.043147,0.18274,0.23096,0.4264
1,0.083333,0,0.79167,0.125,0,0
1,0.15957,0,0.31915,0.15957,0,0.3617
2,0.12299,0.20321,0.18182,0.23128,0.01738,0.24332
2,0.15957,0.3617,0,0.31915,0,0.15957
2,0.083333,0,0,0.79167,0,0.125
2,0.03437,0.36007,0.25696,0.06874,0.045827,0.23404
2,0.028617,0.17329,0.08744,0.34658,0,0.36407
2,0.060914,0.4264,0.23096,0.043147,0.055838,0.18274
3,0,0.16518,0.0625,0,0.77232,0
3,0.42913,0,0,0.28346,0,0.2874
3,0.037037,0,0,0.61616,0,0.3468
3,0,0.37821,0.62179,0,0,0
3,0.42063,0.0079365,0,0.0026455,0.56614,0.0026455
3,0,0.63198,0.33333,0,0.034682,0
4,0.3985,0,0.0037594,0.33459,0.13158,0.13158
4,0.017241,0,0.57427,0.070292,0.3382,0
4,NaN,NaN,NaN,NaN,NaN,NaN
4,0.39866,0.0066815,0,0.34744,0.011136,0.23608
4,0.70408,0,0,0.010204,0,0.28571
4,0.11544,0,0.2024,0.2099,0.47226,0
5,0,0.070292,0.3382,0.57427,0.017241,0
5,0.0066815,0.34521,0.011136,0,0.40089,0.23608
5,0,0.010204,0,0,0.70408,0.28571
5,NaN,NaN,NaN,NaN,NaN,NaN
5,0,0.33271,0.13158,0.0037594,0.40038,0.13158
5,0,0.2099,0.47226,0.2024,0.11544,0
6,0,0.01875,0,0.6,0.025,0.35625
6,0.034611,0.090235,0.87515,0,0,0
6,0,0.65116,0.25581,0,0,0.093023
6,0.23824,0,0,0.091176,0.67059,0
6,0.0018018,0,0,0.72072,0.22342,0.054054
6,0.45385,0,0.51538,0,0.030769,0
7,0,0.42239,0.02799,0,0,0.54962
7,0.33945,0,0.033639,0.61162,0.015291,0
7,0.047957,0.0035524,0.24512,0.70337,0,0
7,0,0.26364,0.66667,0.069697,0,0
7,0,0.032459,0,0,0.09613,0.87141
